id,comment,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548380,Custo Benefício muito bom Excelente produto\nDesign bem neutro do jeito que queria, 160 Hz e 34 polegadas excelente para jogar\nConectei direto na placa mãe e com os graficos integrados do meu processador i5 11400 tive apenas 6 bits de profundidade de cores, mas creio que se eu conectar em uma placa de vídeo resolve meu problema (creio que 8 bits ou até 10 bits chega), Tirando isso o monitor é muito bom,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549078,"Impressionante pelo preço Excelente imagem, design e características considerando o preço\nÓtimas cores. Ajustes de altura e inclinação.\nApesar de ser a tela do tipo VA, a mudança do angulo de visão impacta muito pouco na qualidade de imagem. Taxas de atualização,, HDR e outras características \premium\"".\nFalta de conexões USB convencionais (isso ajuda por ser um monitor grande...). Entrada de vídeo USB-C (esse padrão esta começando a ser popular e monitores vendidos la fora já o possuem, inclusive uma versão desse).\nNotei na parte de baixo da imagem, nas ultimas linhas a imagem fica bem escura, não importando o tipo de entrada ou sistema operacional. Falta de suporte a linux""",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549512,Ótimo monitor. monitor sensacional...\nTodos\nnão encontrei nenhum.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550746,Excelente monitor Bom e com preço justo!\nAumento de produtividade para mim que sou DEV.\nPara obter o máximo da qualidade do monitor é necessário uma boa placa de vídeo para que entregue o monitor entregue o QHD, a minha placa não é mas mesmo assim o resultado é satisfatório.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551247,Dentro do esperado Atende o objetivo\nárea de tela, resolução, alta taxa de atualização, suporte bonito com ajuste vertical, duas portas HDMI com PIP\nBrilho máximo ainda é baixo num ambiente com luz, ideal é usar num local onde não se abra janelas e as lâmpadas tenham luminosidade baixa ou fiquem atrás da tela,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551383,Belas imagens mas o som deixa a desejar. Belo monitor ultrawide, mas o som integrado traz baixa qualidade a menos que seja ouvido relativamente alto.\nBaixo tempo de resposta\nQualidade nas cores e na iluminação\nMenu simples e direto ao ponto.\nAplicação para configurar opções do menu via software se quiser.\nO som integrado que é um diferencial das linhas menores tem baixa qualidade e o software só piora a sensação.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552040,Alcançou minhas expectativas Produto excelente, apresenta cores vívidas, boas opções de configuração também.\n- Gostei das cores, regulando o monitor deixam as cores bem vívidas \n- O tamanho, que até então era difícil de encontrar nessa faixa de preço\n- O uso inicial seria mais para trabalho, mas honestamente os jogos ficaram uma delícia que serve tanto pra trabalho quanto pra jogos.\n- Como era de se esperar um painel VA tem black smearing, nada fora do padrão, mas tem. As configurações permitem equilibrar isso, com um pouco de perda de qualidade na imagem, mas eu diria que contorna bem.\n- O preço é salgado, mas acredito que se fosse um IPS custaria o dobro ou o triplo. Então tá ótimo.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552052,Melhor UltraWide custo benefício!! Monitor maravilhoso, superou todas as minhas expectativas, veio sem defeitos e em perfeito estado.\nCustoxBeneficio\n165Hz\nImagem Incrível\nFácil instalação\nNão possui,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553088,Melhor Monitor 34 QHD em custo benefício! ótimo monitor, sem extravagância no design mas muito bom aonde precisa: na tela.\n\nMonitores 21:9 ainda são um pouco super faturados,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553169,"monitor ultrawide 1440p 160hz ótimo custo benefício, troquei de um ultrawide 1080p 144hz para este modelo, a diferença de qualidade é gigante para este modelo 1440p\nresolução 1440p;\nbase articulada;\nqualidade de construção;\nvem com alto falantes.\na furação vesa não é compatível com o suporte articulado elg, sendo necessário adaptação do suporte para entrar na base do monitor. \npoderia vir com mais de uma entrada display port",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554415,ótimo produto produto ótima qualidade,  atende a necessidade\n\n,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554874,Ótimo produto Perfeito\nFácil Manuseio\nNão há.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555303,Excelente Excelente monitor  !! recomendo  tenho PC Gamer e um Xbox S Series . Nossa a diferença para um monitor de 60hz é absurda recomendo!!!\nProduto de qualidade\nPreço,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555348,melhor CxB BBB ... bom barato e bonito... leve o suficiente para usar um f80n...\nCxB\nBarato por ser 2k e ultrawide\n160hz\nsom é ruim, mas quebra o galho,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555419,Bom custo benefício Tem alguns contras, mas acho que vale a pena pelo preço e recursos\nCompleto em relação a recursos, tendo alta taxa de atualizaçã0o, baixo tempo de resposta, boa resolução e baixo custo.\nA qualidade geral das cores não é lá essas coisas e alguns píxels nas laterais não podem ser vistos em posição normal de uso, então é como se a gente perdesse umas 5 linhas de píxels em cada lateral, mas isso quase nunca faz muita diferença.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555645,INCOMPARÁVEL Excelente\nCor, opções de configurações e qualidade no acabamento\nnenhum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556648,Nota 10 excelente\n\n,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556869,Lindo demais Amei\nQualidade de imagem\nSom embutido\nFrequência\nBase com ajuste de posição\nBase ocupa espaço grande na mesa\npixels da borda lateral nao sao muito visiveis,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556997,"Excelente monitor pelo preço Entrega muito com preço mais \barato\""\nTela com boa qualidade.\nResolução fantástica.\nMais barato que os outros.\nDemorei um pouco pra calibrar.""",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557173,Excelente custo benefício Excelente custo benefício\nMonitor muito bom. Tem um alto falante normal, inferior a uma caixinha de som pequena, mas da pra ouvir tranquilamente. Excelente custo benefício. Altura ajustável.\nO pé dele ocupa muito espaço e incomoda até para por o teclado perto. A tela dele se fosse IPS seria Perfeito. Para quem sair de um IPS para um VA vai demorar um tempo para acostumar. Pelo custo benefício é um excelente monitor e para jogos de FPS muito bom... Eu recomendo para quem quer ter um 2k custo benefício.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557357,"Bom mas, tem seus problemas! satisfeito\n- qualidade de imagem excelente\n- alta taxa de atualização\n- input lag é baixo\n- muito ghosting, mesmo no tempo de resposta mais rápido\n- uma linha de pixel é totalmente \comida\"" pela moldura na parte de baixa do monitor, é um problema crônico""",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557867,Bom monitor Bom monitor na faixa de preço de R$2800 com 34 e resolução 1440p\nResolução, suporte com ajuste de altura, painel VA com imagem ok (nota 7 de 10)\nUm pouco de vazamento, mas nada muito sério. Som fraco mas melhor que não possuir.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558362,Monitor LG Produto de ótima qualidade\n\n,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559241,não tenho o que reclamar, entrega o que promete otimo custo beneficio, amei amando\notima tela, muito obm para o trabalho e jogos\nainda nao sei, vamos ver a durabilidade, so o tempo dirá,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559961,Atendeu todas as minhas expectativas Comprei esse monitor para trabalhar como programador, uso ele com Windows 11 e com um MacBook Air i5 de 2020. Funciona muito bem nos dois. Também Funciona muito bem pra edição de vídeos e fotos e claro que também pra jogar.\nPreço - (Está 100 reais mais barato que outros monitores com as mesmas especificações)\n\nMuito fácil de montar e configurar o monitor\n\nAjuste de altura e inclinação\n\nAuto falante imbutido (Não é dos melhores mas quebra um gralho)\n\nVem com cabo display port\nSuporte muito grande, deixa a tela muito pra  frente.\n\nPreço Brasil, ainda que ele seja o monitor ultrawide de 34 polegadas 1440p com 160Hz curvo mais barato do mercado, pagar 3K ainda é triste.\n\nÉ muito pesado junto com o monitor (usar um braço articulado vai ajudar muito)\n\nNão tem um hub usb imbutido,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559998,Muito bom Estou usando o monitor ha 9 dias e estou muito satisfeito. Qualidades estão dentro do esperado levando em consideração os pontos fortes e fracos do produto. Acredito ser um excelente custo benefício para quem quer dar um salto no desempenho dos monitores.\nTela extremamente fluida, excelente para jogos. Qualidade de imagem excelente.\nO fato de ser painel do tipo VA é um ponto negativo do produto, no entanto se não fosse por isso acho difícil que teria esse preço. \nO botão na parte inferior do monitor que controla todos os comandos eu achei um pouco duro, mas nada que não se resolva se acostumando ao produto. \nA base ocupa muito espaço, mas consegui contornar utilizando o centro dela com minha caixa de som pra melhorar a experiência.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560028,Nota 9 Excelente custo beneficio, Lg esta de parabéns agora sou LGTV rsrs\npraticamente mil reais mais barato doque o seu concorrente odyssey g5 !! aplicativo OnScreenControl sempre altero o brilho e um monte de coisa pelo propio software, Hdr muito bom, opções de motion blur reduction, tem som embutido e seu concorrente não!!  apesar de serem de 7w são praticamente 70% da qualidade em relação a minha tv antiga, ja veio com cabo display port que suporta a resolução nativa a 160hz.\nPra mim nenhum, talvez o design dos pés poderiam ser mais discretos, poderia ser Ips mas mesmo assim a diferença é praticamente insignificante pra 99% das pessoas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560356,Excelente, com tudo o que imaginava pela faixa de preço. Excelente custo benefício. Monitor definitivo. Lindo é robusto. Muitos recursos. Apenas precisa de uma boa placa de vídeo para aproveitar tudo o que o monitor pode oferecer.\nPreço, desempenho, robustez, painel multicolorido, resolução, taxa de atualização, etc\nNão há. Zero.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561470,Monitor Top D+ Sai de um LG Ultrawide 29,IPS,75 hertz,para esse daqui,pensei que poderia perder qualidade na imagem por ser VA,mas me enganei,no modo efeito HDR cores lindas, brilho muito bom,a densidade de pixels desse painel alta melhora e muito o serrilhado comparado com 2560x1080.\nEstou jogando a maioria dos games a 100 Hertz,flui muito melhor que 75,em jogos mais pesados e lentos travo a 60 mesmo,mas fps online e F1 100hertz pra cima muda toda a experiência,curvatura perfeita,em jogos como Assassins Creed Odyssey e Valhala,Red Dead 2,vc se sente dentro do cenário, imersão e campo de visão perfeito e viciante,o som é simples.\nO modo HDR em alguns games não fica muito legal, já em outros deixa o jogo espetacular,em Ac Valhala HDR está mal implementado,dando bugs e até fechamento do game,já no Odyssey,Metro Exodus por exemplo deixam o brilho e detalhes,cores muito mais reais,oque realmente dá uma boa diferença.\nPor se tratar de um monitor 3440x1440,160 Hertz,curvo,HDR,tem até um valor coerente tendo em vista que um desse de outra marca pode custar quase o dobro,gostei muito,acertei na compra,setup ficou insano.\nO aplicativo da LG pra configurar ele não é bom, dá travamentos na máquina, aconselho não usar,e usar o botão físico do monitor pra ajustar as configurações,a base é grande mesmo, talvez pode ser um detalhe a se prestar atenção, instalei num braço articulado e ficou perfeito.,5,,,,,,,,,,,,,,,
1563187,Excelente custo benefício Imagem excelente, ótimo tamanho para um monitor ultrawide\nÓtimo tempo de resposta\nQualidade da imagem\nTamanho\nA localização das entradas de hdmi e display port poderiam estar direcionadas para baixo e não para trás tão próximas do encaixe do suporte,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563197,Bom monitor, mas veio com defeito Gostei do produto, mas a garantia da LG foi muito ruim\nBoa qualidade de imagem e ótimo suporte com bons ajustes de altura e inclinação.\nGarantia da LG muito complicada.\nO meu veio com um pixel morto e a LG complicou muito o processo de substituição ou reparo. Acabei optando por devolver para a Kabum que prestou um excelente pós venda.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563229,Excelente monitor Bom monitor.  Atende ao que se propõe.\nTela.\n,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563357,Bom mas com alguns detalhes Bom mas com alguns detalhes\nTela boa, tamanho bom, preço atrativo\nNão tem entrada Usb e Entrada de cabos no meio do monitor, o que implica quando se usa braço articulado pois pode forçar os conectores. O meu monitor veio com problema no joystick, não consigo acessar as configurações do menu. Fonte é meio grande,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563458,Ótimo monitor Melhor custo benefício\n- Tamanho\n- Qualidade imagem\n- Qualidade de construção\n- não encontrado,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563498,O melhor da categoria pelo preço Excelente\né o conceito de ter 2 monitores em apenas, uso para edição de vídeo e facilita muito a edição. Alto desempenho, sem ghost. Vale muito a pena.\nNão espere 4k de resolução. mas nesta faixa de preço, ó melhor,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563889,Curti Ótimo custo benefício\n160Hz 34 por um preço bem atrativo, possui som e está pronto para usar suporte\n,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563965,É bom, mas com ressalvas Excelente pra trabalho, bom pra jogos\nO contraste é excelente, o conforto visual também. Para trabalho com imagens e programação é simplesmente fantástico\nBom, depois de uns 20 dias apareceu um stuck pixel vermelho. Deixei um programa que fica trocando a imagem rapidamente e o stuck pixel sumiu e não voltou mais: menos mal.\nEle tem ghosting, se comparado ao LG ultrawide de 25 polegadas que eu usava antes, no começo isso me incomodou, e quando eu fiz o ufotest eu percebi o que me incomodava. Da pra se acostumar. Vc so nota esse ghosting em jogos de muito movimento rápido, dependendo das cores\nO programa da LG pra dividir a tela e de funçoes extra nao presta, esqueça aquilo.\nSão pequenos defeitos que se enquadram no preço mais acessivel, quando vc pega ele em uma promoção,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564361,Ótimo Ótimo produto!\nTamanho, características, custo benefício e montagem.\nN/A,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564776,Bom custo benefício Bom custo benefício, tela grande e boa para trabalhar\nTamanho da tela custo benefício\nA tela de va não tem uma qualidade tão boa quanto ips,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565089,Simplesmente maravilhoso Monitor top demais\nTop\nNão possui pontos negativos,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565434,Monitor ultrawide de nível intermediário com o melhor custo-benefício do momento No início fiquei decepcionado com as cores, mas, depois de fazer os ajustes eu consegui uma boa qualidade de imagem e constatei que este monitor vale muito a pena pelo valor do produto.\nO tamanho da tela e a resolução do monitor são pontos fortes quando se trata de produtividade. Programar, editar vídeos, imagens, abrir mais de um aplicativo e ainda ter uma boa visão de tudo faz com que este tipo de monitor seja uma ótima aquisição.\nO botão de liga/desliga poderia ter uma melhor construção, ele parece frágil quando comparado com o LG 29wk600. A calibração de cores que vem como padrão pode decepcionar de início (isto pode ser corrigido fazendo ajustes através do menu de configuração).\n*** Nunca tente comparar as cores deste monitor com um monitor IPS.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565795,Melhor Custo Benefício que existe hoje no mercado Perfeito\n- Bom tamanho de telo\n- Bom Brilho (perfeito)\n- Cores são perfeitas, não deixa a desejar em nada\n- Eu sai de um painel IPS e fui pra esse monitor que é VA e não senti dificuldade nenhuma de adaptação nas cores. Recomendo deixar no modo GAMA 3 que para mim melhorou muito a qualidade das cores.\n- Software LG (baixar no site) para dividir em várias abas a tela.\n- Perfeito para jogos.\n- A base ocupa muito espaço na mesa e deixa a desejar no design, mas ela funciona muito bem para o que foi projetada. Comprei um suporte de parede para dar espaço na mesa e ficou muito melhor.\n- O som dele é horrível, porém, isso é apenas um brinde de recurso, portanto, nem se pode considerar como ponto negativo.\n\nO monitor é muito grande, portanto, recomendo não usarem ele muito perto do olho, eu estou usando com um distanciamento de 1 metro +-, pois menos que isso meu olho arde.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567507,Muito top Monitor bom pra jogar e trabalhar\nSubstitui 3 monitores de 21pol 60hz por esse monster kill de 34pol 165hz, não sinto falta dos antigos e a produtividade aumentou muito mais, a jogatina nem se fala, pena que sou noob hauahua. O produto em si é bom qualidadade LG, não tenho que reclamar.\nPara esse produto nenhum. Mas a LG poderia lançar um monitor de 49pol 5160x1440 165hz.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568558,Bom custo beneficio! Muito bom!\nExcelente custo beneficio para essa categoria!\nÉ o mais barato para essa configuração.\nTela não é tão curva!\nO comando é péssimo, um único botão tipo jostick para fazer tudo.\nAcabamento bem simples.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569318,Excelente Produto de extrema qualidade. Superou minhas espectativas. A imagem é perfeita.\n\n,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570521,Grandee e lindoo Exelente para todas as minhas tarefas diarias, jogar, estudar , asssistir filme com a gata\nGrande, da para dividir a tela em diversas formas que quiser, otimizando fluxos de trabalho.\nhz muito alto, preciso de uma placa de vídeo melhor pra conseguir empurrar a quantidade de quadros nele\nNecessita de um pc forte,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570524,ótimo monitor ótimo monitor\nA resolução é excelente, tempo de resposta, o fato de possuir alto-falantes quebra bastante o galho.\nPor ser VA e grande, é percepitivel a alteração das cores nas extremidades,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571242,34WP65C-B Preço abaixo dos concorrentes e bom custo benefício mas com tendência a dar dor de cabeça\nA tela tem um contraste bom e é espaçosa. Excelente pra programar e boa pra jogar. Se não tivesse uma tendência a dar stuck pixels vermelhos e outras avarias seria perfeito.\nDepois de 40 dias apareceram 2 stuck pixels vermelhos e uma listra branca no meio da tela, os concorrentes vendem esse mesmo monitor por 3600, o que significa que a LG ta cortando perto de 1000 reais em custos. Cuidado pra esse monitor não ser o barato sai custa caro.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571714,excelente escolha otimo monitor muito bom grande e confortavel\nergonomia preço e qualidade de imagem\nnão possui,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574831,Top! Perfeito! Não tem melhor pra edição de vídeos, animação gráfica e designer gráfico!\nTamanho, brilho, resolução, 2k!!\nApenas o som dele não é bom, mas nada que um bom fone ou outro periféricos não resolva!,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577001,NÃO COMPREM Imagem ruim, principalmente pra quem trabalha com edição de imagem ou vídeo, não comprem!!!\n\n,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583983,Produto ótimo custo-beneficio Muito melhor que o esperado\nA qualidade da imagem é excelente! uso para trabalho e tenho achado o desempenho excelente!\nA curvatura é bem confortavel aos olhos.\nA base é um pouco grande e acaba ocupando espaço na mesa, mas nada que um braço suporte não resolva.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586607,Muito bom Ultrawide muito bom para trabalhar\nResolução QHD,\nBase com regulagens de altura e ângulo,\nTela curva,\nMenu de configuração completo,\n160 Hz de taxa de atualização.\n1ms é puramente só no marketing\nHá outros monitores com melhor custo x benefício\nSom ruim,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587958,Produto muito bom Produto com excelente custo benefício\nResolução e facilidade de uso\n,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
